GUID;ExtrusionX (mm)
0zeNY7VxPFFAPy3CCS4w4h;5876.0
1GNmHFtnj9Ow3d7fZLQPGx;4992.0
1TVBBUgAb5ifWfD_JTkpzd;5000.0
1HysUyBin1$BLeMA13jmDX;5000.0
3fqW$eENP2JvsxwpuyBIAR;5000.0
3F4miHHffAsehVNbeu22in;-5000.0
1AE4PFSGb03uuN8xiQKAav;-5000.0
0G15Omg0fBxBm6MgOazKGC;-4750.0
058lkPs1v9guSRxqak9_20;4500.0
0K_cvN0Y1EuPrdWpddYH3U;4664.0
1bspHXg4r2KPL4_mutvxIA;5300.0
3adRe54BL0QwJnCKcg8NqW;4750.0
0d8yZgU69AVQYEZ20Uh5y8;-4664.0
244E75rVL6WR6_jOh944Wn;3845.0
3AGriMhEnE_BwLWVozelga;4710.0
21hPaN6LnDpg6NL85syCp3;4750.0
3RBV9sH6v9mg$lRYFUI0D_;-5703.0
3MRt9bz195IvMaNGFovwD0;-5000.0
0CUjNefIH6BBFsnwxziHfv;-4600.0
3LCY$4RFLE3AwWWcsFu4Gj;4600.0
3v63ZcBI58VQfIGyNLfxXN;-4600.0
2gzVX4piH12Rikr4yac_8v;10000.0
0h8c2LVa56K9z8xNVUog0$;-4950.0
0uKGP0S1j2UBL6_uqoQOAV;-3997.0
3lKeWURujAHeH0w$FUYtOp;6416.0
0kY$5aHHP4MhglG4bjmZUj;-6416.0
2QVrbBpXv87OIhiqsPwrii;-5400.0
18iN1PoLnB$hBWW4h5vEMZ;-4600.0
3Y7j0jAcTAT8LBmmH8Gm9R;-3966.0
0YvYbRZsD7V8XMofITAU$O;3966.0
3z8G6JZvH4LgHNXNQBhXel;20000.0
0K5sANjqnCSPR$BuEeJN_w;8405.0
2SzV0sASn04vl5W8k5DubR;-5400.0
3_6OIZXKH97vPq$Fyp4XpW;-4216.0
2hxNnVM_1DWev1_QSnrO3s;4613.0
1_wPKQSFP57gRWEZrJRz$G;5000.0
2bCqk7mt11Jg_JZUbqCoGt;-4616.0
1L32dQ8P9APPeTHb9_F_m5;-4536.0
2WZuZhOV90XgnMd3YjOxk3;-5000.0
3cZmtqORbFgu7oij4Gk_3b;-5000.0
07Idhyc1HDhAZvHCqA$dgo;5000.0
1a4v85jbD39w79iJEFrkQI;-5000.0
3qDohIIgz81Aab0WesNRcS;-4536.0
0KgGQ9BGPEHex_sIXPxtmq;-4616.0
15zfmtXVnF$QhVJDjskMwq;-5000.0
2KWg4$qfD8ERCoSDrVxQwQ;-5800.0
0VMcFK0ozF4gZGu4WGRj9W;5336.0
3YeUp5jrj8VwjW0KN5nkpk;-5000.0
06OFNlHx591BSt6UyqUnN_;-4397.0
2nyP7aSjv7J9DNoh3cy0kW;4536.0
178OxBl$55jRCYzsyfXmKB;-5000.0
0$L07qh9j92B$g_dlzdV2$;-5248.0
09vWfbD$57xA9I6ygHIgUQ;-6725.0
2PkWk7S5z6O86JGSekUzgu;-4621.0
05dSiJGsTF09FVVjRq_u4z;-5000.0
2SV$NeHc12OBvnFIfo6Bmk;-5000.0
1WBAulW7vBe97pet9LB_QF;-5000.0
0meVKeSrfFogWNQ44Qsw$m;-5800.0
2M2g0sEw912BfTT9hNaWf0;-5022.0
0813lIaEz1wB$Uj0tNxmD9;-4750.0
0zbOpZ5E9Fl9_erh_N0sCv;-4968.0
