GUID;ExtrusionZ (mm)
1vXk6bK9D55xN87iJ_WHfe;3824.0
03oVSDoYb5KORmNH_Y6e5n;11114.0
0iLuK4alr1SuEv60TU0X$v;3824.0
0Xhi42ban2WAwAzdJIVYtH;3824.0
02JP9xsN58uPkqUbzzmu41;-3020.0
3lrMja60P6V8NT0lGRETuk;3034.0
3ujJxzIZbFYw8lYvUdXiYh;3457.0
3NaT1WeeHBhPvZd0vc_OZ3;3739.0
0k7V$_vqD8o8YXjWweRd4B;3454.0
01KX4uVdr8nuHjMpqdSkdX;2828.0
26ZKPmAC568xCiVNcrPKEw;2337.0
03a7Y5HNn2MhR$HU2Pblv1;3477.0
1VI$x029XDffqGquy9v_b5;3739.0
3zdT7yBGb4ivpiNxQLrDsV;2338.0
3zq1lYFL13GA3mkD40yDh7;3443.0
0UZgtx7xH6hQ1HHnIjgr1O;3441.0
1OcXmhZWz5Nw0d2NVNzwV_;2229.0
1uJvvD4u9Ae9TwSDtPlD06;3254.0
0KXpKitdHFwAEkdmTRz5ft;2174.0
24E_WooMXC7vHl6wIc6VIU;3755.0
3HBfHDPxD9lAsusiUloDKJ;2563.0
2X9OvjNB5Ddh5E0eE$2fg$;2563.0
3GYwSeHZn3SOVZE7fif7JK;2174.0
3Vj50XAfP9m8vBS6UaH00U;2115.0
0BAtp1iNz3cPFrR4nwu54P;2553.0
3mO2SZXz57Euc60_KK0DQb;2424.0
06ohcOtRD5gv9jVw5PkxcU;2424.0
0Ldn4NMKD4TgciHixSGTnu;3757.0
2R9GugnpTAHwdVabVKhKQr;2615.0
2GbnRAg4H9oPNhiFAbKE_h;-2500.0
1TyINPj6rBrxpmzJeeT1hV;2853.0
1qbmjsnUDCH8vjPJuCp_3S;2531.0
1SD4LaZojFkO5XWvBiNiqG;3756.0
0Ts2obKir75RVmQ1m4IzDE;3738.0
2JrhFLlV5FUQgH$W1y6k6P;3738.0
318UnB6xP5Jh7oeTxaAT7h;2829.0
154SJ7gdrDKu$KzMwt49RL;2805.0
21aqv5Jgb4nB4uz6bfu6Y7;2852.0
07DLWwu9nDAQe3G1MFcZZI;2723.0
1PU9TKyYfCYxGTBQV6yNp0;2723.0
2n4xGIS$j1JuaplCHLyv8j;2337.0
2MljQJHLb5p8qzDmvlPhOr;2337.0
2RqEj3tUb76PBw5ihJgQg9;2224.0
1DpHUOv4v5xgBZiEjku2ID;2324.0
2VBC2LvwX2vBY$I$tgs6eq;2324.0
0Q$74RJ0TEnBNsaw57AdEb;-2334.0
1xkLZhZmr62v4iz87bh1g1;2198.0
0$qnrKfyDCnh8yLNHCA2Ks;3755.0
12XjElIYD0ROkyX7LzuHlj;3753.0
2KZIioUfXDMRjFinDh$vz0;-5175.0
0qizbz$wH8GhdmKnRZjdTo;-2577.0
04gb5Op6b0NPJXWBbVh4Ns;4695.0
1jXF2VsG1EfP_ISaq3qO70;3457.0
1nxUzHo49Ccxvwt0xTUjiI;-2600.0
1ZHX6pbyf5PBPTDXzTZ3Qa;-2600.0
2hM_PW6aLDz8nX6XpcaaNR;-2301.0
2tFiYRea5C$BAGxCnbXBqg;-2301.0
