GUID;HEIGHT (mm)
06jrWGwWbA5uAhOZYbMxgU;987.0
0foa5O1Pv6$fOASJ$S3A$r;987.0
0cnnzAGVv3q9t_vYvrpU1C;987.0
3Xxs1blaL77hcp_1sVwPrE;987.0
2xsXGlNRz6OPzvZShZyANt;987.0
2javgHDFP7RfyRWsL09Bg2;987.0
00OK$AzezARgKOGj$CduIR;987.0
1uxCVXdYnDQwMPQHux3T5p;987.0
3p0B5783P0i9iwV8jZJX$h;987.0
1d3h3L$Rf8$fvvFA63L0Qt;987.0
0an$1yjY9Er8uVg5lyB22T;987.0
1nUro5UqrAKRmmRQmjRSMi;987.0
08TBS3TPXBi8G__xuib3mZ;987.0
0rRaN5oRDAa8M8qkLz77p5;987.0
1GBLHrltPE0xp6yRsjLSsr;987.0
13RWybeL5Au9mvmWr2INSK;987.0
1xzuH8nUL9shaYKQvqpM3s;987.0
3L9pPrDkPDmgvDZaQIHoBo;987.0
02CeWFt0v4bv8SMeN0zpEs;1165.0
0rPuhjDbz1GhttbSk0eN2F;995.0
2xBX9xW2H2SAP_FZ_7pnKy;1000.0
2TbqA58rfC6x_jaKn0xte4;1165.0
1ZH9dCEaPEsOFo_GJmrFK3;1165.0
0OHDYzyi1EthVhSzKwB5pM;1165.0
1orkEgRrL4hAmUdRDIIeZ0;1165.0
1cNkcIQdTF7v0QfJ5MJlnl;1165.0
0NcTnysYf2_hLU00N3CPzI;1165.0
01jyK83GH0I99B2Dn0dfjh;1165.0
16MXqsVZj43w6rGaZn2o5b;1165.0
3X7V7grUH3HQ4JF$Yj8pcM;1165.0
1Mg3MYeWL7Vx5iK2Y5Pw9l;1165.0
0OHbTBRJ14bOE8OtxPUqIq;1165.0
0_kTi6TADFCwafM_lqn36z;1165.0
19DbUC_ID1vRShCWUEmSZr;837.0
2dFjp42tX9Yx77dTYhD9gd;995.0
33KqvZvc9DmAYLBvbTg6Kg;926.0
2SZzpFlFX0i8AngVXvi52P;926.0
0EObQZa$fDR9XT6O6ioHE3;823.0
0gN$P1n4L0ihYMGH7V4jt7;842.0
1EAFhKEC56Jh3PoOK$_6f_;842.0
2_$25aQyv2JwIHswkyuycr;842.0
0MwB3f63f65AW_JY$o99AG;842.0
022aXC9in1IP7E24UrXqGn;842.0
39RuTdIbXESPkjmHuibJJv;842.0
0l2UQZAdv6AAbYfPY64fBD;842.0
0WUep6y8v4GvGKC3Hoke0z;995.0
3uF7AeEY57$vbb3FcLJkR1;995.0
0BAdNsqX93$hHBJJ8C_kWI;995.0
1BnDeP$_D3yAjvGF_x1zGS;995.0
08pGalD$z0tgMsCbG1jDRt;995.0
1OsMeDsNPFyvG3qePcC02F;995.0
3oyvNWjnjDGezq8$MUkJNa;874.0
3PSEKgcYH9T8hchg_otWg1;874.0
19_L9TFW5AWe5YmuPFSxWg;874.0
0hfIahrMjFu8DcDO$TKiYl;874.0
26r27pAKDAgwOd_kdxUnp4;874.0
3xKZvoBYD9i9SP4Ckc3UEQ;874.0
3RH9Gm$d1Cx8GW8swfL5Xe;874.0
0DbHpISqj1zeAqbA1Gpw$9;995.0
3qugABOZbBpv17RMEOvpZy;995.0
0W1T7NA2D6QRd8PCZbfHFm;995.0
0CjQXye3H4SAplpi9OMXUA;995.0
1$jVOk5sn7t8SP$A7BhN9M;995.0
1vQOf5pb95x9yI7NW7VpwP;995.0
1V_i2i85rFvvyf2UIKSCNc;995.0
2xx$0UpF571RrzvfCwUBO2;995.0
3_ElpoYL92BR6HJUk04GUl;995.0
3mFFyVyUP52eg0MXv8LTjE;995.0
1Ckk1Xyqj47gSFWMabRpP$;995.0
19x5_DpSD3sB2HGDnFVFNs;995.0
3jYo7$$OzAA9Gy$yz9B9n7;995.0
1YKEj8jjP70A0e7smEYXjT;995.0
3o_vspzYD0gwctsIKdQn6S;995.0
22XRnrzv11yAYrAbt3OraH;995.0
26Cd8r5Hz0QAOZq9VQUz7o;995.0
0kxIMe3tDBIO5m1iL4oPp6;995.0
1L0ezzXRPCp8FOGTA468KL;920.0
0vt7Ok02v6Lel9HVgdlpij;822.0
0SeRqMo2P5_PvjpO5rUa$$;995.0
2lgRzm1U9BtfidnDZ_z4O5;2031.0
3dKRa3zu9ACeMZOOduH$F5;995.0
25yP_rmrr8cRX89t8N9_5E;995.0
2024tYot5FKBhQgfnbzNGf;995.0
0Gd$UO32f22g5GlywmGcgC;995.0
0yNdnv71X3ouGJLEeGiU_g;995.0
3GPkyO82jDpf8FHO1voTDT;995.0
2pu2xKgUT6ygrCoBaYzS45;995.0
26FFu4EcDDiQb25OnE6grZ;947.0
358SbAetX5CB44JqT8O0HP;947.0
2avWE$1J5Bfx17oWO_yL8n;1200.0
3LkOUuIfT27eGrEEPB6Tj4;1200.0
1600AscBP1J97r2O23S4Yj;995.0
1Lwb4WYSn0jQjO7cxdwuz2;995.0
2XYXCrzIjCfQM0ELx3c5wS;995.0
1VFgSUoZX8W8rtTyjUAcIS;995.0
0ol5x0YrD6HxsCYb3r8E$r;995.0
1gJ_tp$85CzuA6Y8g_DXQC;920.0
2$8F3FNfL7gu5beAUjR1GI;995.0
1z$f$bSGT47AEb9LrDXZ8X;995.0
0uqgft0FT0oxmy45jwnwi1;995.0
3JKmUbTbP2sBMGb8lrS5WR;995.0
24hmqCnZ5DavdGr6VblF45;995.0
3RfPMw_OXEUgW1qoQXNYw0;995.0
03R33MJHbBfOhFZ6fUOkin;938.0
1YntKyi1r0YuJsKfhz5tip;994.0
1rMlnfLQL7h85JcLlG4ZUF;837.0
1p4eua_RP8AwDjJ_T1cXsm;837.0
0XxoIepj1Faf8wJvA4VKAg;1240.0
3QLDbCVI91TeoXrN5XP48I;874.0
0h7VPTiDD5xOlebqdapUAk;995.0
0to3FRAA5AFBG$Fi$V8mXZ;995.0
1YI_WkiujCogOqRfqvYo_C;995.0
1KOKfpeYTAuO9ivhPENJe0;995.0
0cLshyhyD2QxFEIW6w2jvo;995.0
3lUjtFK9L7XgDM7cRKByX7;995.0
39EgMViEf1kBIJAut$t58Z;995.0
39ePHxlZP8bOWdXILKOrS8;995.0
36fu1AeCT7Cwc4DLZjblRQ;995.0
10gU1NwFfB3w2uGqbIjL0n;995.0
2fO5QDPWLBYvNTIMfKfUkj;995.0
39JPE5yNbFSvej5gtQhTvW;995.0
2f6lxU$qL3Iv2CeT3_fNUj;995.0
11l3zKgdn8Ruo3OW0jRzYP;995.0
0O5_TuDir0FR3z44bElYIN;995.0
1jKGdeI9zACB1$QMML3d2o;995.0
2Oc6K12QH9L8N$79begvCL;995.0
1zvCLdFg9BxxWq7aXlbZ3u;995.0
1ZJTgxPZn0AfaxOrdMBBiq;995.0
2qnSIZJ$j29QhKLHeqGUK4;856.0
3oaOOoXXzAqh_UGofvSpq3;856.0
0pVbwruD99yOCTALKUMbgY;856.0
0PGnCNxUv7xRxFp5Wokd5B;856.0
3qiwraPJDDXwGrBkj3XIo_;856.0
27imXeAJvBphd349Y6tVs$;856.0
09RPnLH6r60ReIMpvaGWNj;856.0
3DVpLGvcn9FgVpsW0eSPHQ;1420.0
1i2wMvKijFLA2QwSqJHPtl;920.0
3PoaOQBIH52uln7dWx6zUR;1080.0
0Ec7kEnoT01e9B1iKUWKTP;1080.0
2nRt2a2jPAagH3VAK5vTh4;839.0
3vGBkNas9DdOUd1_9jXbAO;995.0
1HU47KhfXDy9eCU$RyDR4L;2580.0
3i2Qdx2f10X90WO2lJ8JgV;1132.0
25hZL_1Kn0IgLa5yIw2b9s;825.0
26rujgiefCBu6D063ScB4a;825.0
1Nz2JWfPDDHfwVdfwaM77n;825.0
00m77du8D5sR7bKRTBYtpr;825.0
21kN45tmPF_QZT0of9jcu_;825.0
15rDEZR7X51Ab9X6XHBm8y;825.0
2BMBx8BvjBtASMP8GuDPQX;825.0
1c3SkGkFf8Yw1XgINjs4$I;825.0
1pDsPxmrjBeuJMKV4u44k3;825.0
2JHewEnD52cg48Wgl$xSQd;825.0
1f4z5o7ifBMRGffCdRZxmo;825.0
3CAvADpnz1EgooNISW14hV;825.0
0FpOtl$HXAWPSJQEaOAGPr;825.0
084YqqUp5DKf$t_C2$z8y4;825.0
2Y5UnndczA8QW3NsDQyieK;840.0
2DPboO5zf7bOPAXVjv$Z_Q;857.0
1akQAxi7nFvO9M7fcz6No8;857.0
3qoY1nSzf4dBBeiLxbgRz8;857.0
22OBUcQbL5OfO6kwOfQ7fm;857.0
3Q_pxnVbnCse_eCv_cTncf;857.0
1jue1Ef912RQrV0SzlDJbw;857.0
0j2phlm9P0b8LwvwG1T3rO;989.0
2Jx_oc7D1EqQtK74o6mIHC;989.0
0zSfHmgzz9Yx50YK4UVGuw;1752.0
2lg8TU_9r83vwPl2Xd9KOC;853.0
3dO32phDD2BvSHQJRBsDO2;995.0
196E5wQ3j2$A5kJNMrMJTK;995.0
1PegUMtZTFrfLCOG$qd7ek;995.0
1DmiCJ6Fr3KuWzNAIMO_Wx;995.0
2K9IZRfx12tuwBOh3NMDs0;995.0
1W_Q2Sm8z1xOByBxecUDsA;995.0
10QQ$emsT7sAb44Ayw13G1;995.0
2zwTLCCJPDSPRl1i6VFLe7;995.0
0e3n5uMp973fXxkjHH$04m;816.0
1bhz_ajKr7eh4RjCTHO6x8;2087.0
2bzfLfKqL9MOJGtGYYSdA$;995.0
2D7pZWabr3x9XHu6vKCh$0;979.0
1hCv4PHcTApxzS312IALEf;979.0
2Z7K$5K65FKgs$k60b8LoB;979.0
1JqXShbqr24POi_KNzEDTx;979.0
30NinSYib2WR7JYZ8TkZOS;979.0
1G$zqhTNjAlxNzaoATGGIO;995.0
2NVYTU3990Z9Osxtb7F9T$;995.0
2RAPppb0T6je4DdWCaz4DK;995.0
1sAHotVjP3CucaqRPO8SHk;995.0
1CPD9VBU56DOZIUdc5KvIt;5045.0
2PquYWBST6xf18wgeEA09v;1138.0
3Zu$EF_oP8CA$dZljdonGl;995.0
3KraRtkRz2zuMcm$66guLq;960.0
1rmfJm5gT7ExHIm8b6Sb20;995.0
3cUeXxFGrBqxAsGBifWonX;3710.0
3FY30R0ND0iuf8OlrmYLHB;813.0
2BEDFEFrHEPOpCVHsTgCz7;815.0
3PNrni_p9Bh9FNsJOZ1Bsj;982.0
1xelR2t8n6yv3b3Xc_$O9P;995.0
09FDINLEf6zvFgiK2G2UIy;1960.0
39xEYFPpf2kuRoRghaSr_0;1297.0
3PgtYeZLT7m9$HdcjrmXDd;995.0
3hmkmXvcrByBLJRQRcWMU_;960.0
00eSpvzCrFZvSNKncjark$;5488.0
1Xa2ozRZD0WvQYf2dCqKWa;990.0
1GXIRx3MTCnPYYt2LF7xPg;995.0
02UHvjsmn7P8lxCTsmcRJI;1180.0
00JW54DXT6XhMpEjMK_yzz;995.0
