GUID;CenterOfGravityX (mm)
0DSvaAtH5ATgdiZz7Dc4a_;212920.0
0q1c36vCrBshD5jdVTJpFR;212920.0
3jsBqM3ozBPej4Yh2oQkP$;212702.0
0yiBaDUuv3Vg0STFNLwKDC;212920.0
0rY3b_cKz80un2HLQw6dcN;212920.0
0BFk$zbG5FtRbDV0iSo0Ya;208570.0
1FkWx6Jv143R46jTzqYgAa;208570.0
26x8A4$Lz6oROHfFA22qSZ;208313.0
0hQNifNS9CW8L2bmmWKNdf;212684.0
1NrXl4e$PB7g2jseFnuzhJ;236226.0
