GUID;ExtrusionY (mm)
1vz2Bfdcj6V9ETNv9JnNdh;5936.0
0qive3rQP5xQ8bZ0BQl2Cz;4188.0
2sKUFHIFvCGg2LIJqDbY5D;-6511.0
30$TOb5lbCruI6v1MCZYwe;-5936.0
3S3TgKZbv1wPWKmB5Ll7SH;5574.0
3CkRNKobv4cg0FQQcD0gR3;-3208.0
1MQW_qab15gR_0UgWVYeGK;-3041.0
0r3kANUM99LRLKxyE_o7Hu;-3060.0
3Ap71FFtb1uwr5wmof$bB4;-6150.0
0aqUDVYAz5hAZRvOiTC6G6;3198.0
2TQw3wsm5C1BeYXhys63wz;3131.0
1L2JMtD1n8OeqxiHyv1t$y;3073.0
3H_B3hSLvC8eU$VCwSWoQR;-3128.0
22pyQYAgD6oQ1tgRqGvawg;3062.0
1lPn1HFh9DC9f2zQ_ykWC4;3256.0
0QBsih6rj6jQ6Jxe$Dddmb;3231.0
0X782xjv56XROwvaFXm3jr;3189.0
1pcJTLEu55hQA3QbOR1vdL;-3139.0
0FQHVhtB54Kv4WzChcUNal;-3106.0
1wPzpl_GP1ORWEv6Ic2ifr;-3231.0
1cmp2y3FvCJfBW$N6j7M$b;3138.0
1nz7G2ULL1xRfS_L$Avlf9;-3199.0
0XqQAgXsD8uuEBbN9O7RqF;3139.0
3FexdH3x58ZAzaIzeU$NGF;-3058.0
3sFqqY4if0M8zV1a6ZlL4W;3009.0
2naibOD4n7nOjEB9u$2nhp;3060.0
09zWcS0vP7ffgYailXKqjA;-3199.0
0S1WVcK$T9TPNEAz_7_8d8;-3131.0
27mJ446c199v3q$8i4RrjL;-3199.0
1ewoIivnLA_hX2DirraF05;-3132.0
1h3UCtE2fDR8J8RGhUFHPD;-3199.0
2GNfYXFcHCC9n0Lbb_K2n5;-3190.0
23GCuCB3DCYuzTQTdjHkM0;-3981.0
2tCB617kT9Peu1ZyfuvMhQ;3981.0
1lRE0yB_56mPMYCvD_G_kT;-3190.0
2xlNmnhpv5xuLBGeFOVqlb;-3190.0
3epsH2rmvAZglNv7IfMJb_;-3010.0
1Ctsr0dGzFNOi2oUFtR8pU;-3175.0
3R96Bw3Wr2_wAyh3wC_7BK;-3190.0
33Ux2ovWvBvw89K7evSBDp;-3190.0
20$vLDP$n3iPf_zQ1j4nvr;-3010.0
1GEhSOV6L8wBLZCROioGB$;12000.0
3mO2SZXz57Euc60_KK0DQb;-3400.0
06ohcOtRD5gv9jVw5PkxcU;-3400.0
2mMzdEX5X1BwglBbdU5Vrf;-3199.0
3IJbsHWyj0XxvC5NUC9$pj;-3255.0
2EInbrYhPBthG0GAOMtPc5;7800.0
0X43iISazA_hkTm3jgxIbC;7800.0
1rNF_KULT23PHexEMr1E8R;-4389.0
2NnOdjZiLCl8JgXOMqWC3R;-3047.0
2yyc4inaL6Wv2FZ45QRIaT;-3046.0
0a02CNDu54mhcEu6TzJeGm;-6160.0
3UCR0DKYr8De$KCq8wDN0N;-3199.0
2N7wXJUxnAhuMMoGSwqWFO;3162.0
3uYgpZA31DFBDKxB1sShD9;-3199.0
3$PKuWljn3PhlQ5ufxsKvS;-3199.0
3s4$eta75599rfu8BWt19N;-3199.0
3YO6YWnOD99hnLfAqCwajR;-4390.0
03S5xu0R13M9f64g7$duSL;-3199.0
0fvuBr9s17rgSmgmwCVt3C;-3199.0
3SQTcN$lb6EfQtvUady$00;-3199.0
2RiQNsVTbC3ut6ScVX4JBV;-3199.0
1l2KItK_b0ceAdJVs5Srrh;-3199.0
2BoV2QUDD40wRLv3iQiEoN;3190.0
0cDSqFwzb5eRuVNXuQymR9;3199.0
2LypDO8OX3vg9JlZJ6kX8K;3010.0
3hNUEBiID8LRyKEpiZQ0D6;-3199.0
3QEkwiofj1jxy2cd1hzuD5;-3199.0
3Xx0oi2gL40f_eAxALMxvp;-3199.0
2mBNsT_Jf6QRpJpjx7dMwo;-3199.0
2h9hMks59CthN0eWzsxAS4;-3199.0
0Jm6TN$H9D4BgH2zvD$HRX;3199.0
3KfDCzSVT4DxvUr5QX6mgl;-3199.0
3DNS8QDXrDUQ68QKuKje$F;-3199.0
2EENfQ9iD55A4roGsLrUZF;3134.0
2D5JWpAXD6bvj7WLJCWqcW;-3134.0
1v$tXviDL7qBGpqxDNmyd9;-3199.0
0lCIb6ZlfB6Q0uMegYLt5h;-3129.0
3u1TwsA7H6NQ$iCmva0z_w;-3199.0
0STGYMu418LgYTUTSMARcU;-3199.0
3m6XFT1kf2Zx7wpg1DRIOI;3014.0
3COaik1Kr12eVfkAIbQL$x;-3199.0
3JhTBkh5DEFevhFi2YwuNU;-3199.0
1xQ10sBOf8TvOZwxUS_e8r;3190.0
3Rl8f0RkX4turXngDo$fk9;-3199.0
3SSH7JBpj9GhF3V8QV8S_f;-5088.0
3pWcZbah99OB6JvRe6Kfwm;-3190.0
2q4Rwzc2P6W8aSDsb5g21A;3175.0
23RFUDvM16mQnShl_SVT08;3255.0
0KDtZCodv13PCEQhdBbY0x;-3190.0
3oEZR_Wnz9DuFzjp1LWW0O;3127.0
2N4SMcAIPCCQKacL4RoMIm;-3190.0
2kROMIbgf6xg_KY_9xL23_;-3190.0
0IJPKY_L13se$p5MuHundn;-3190.0
2FmnmC4bv7RuimNTLVtkyv;3118.0
3hZbMwxZT7UwCGE0R2mbC7;-3190.0
1ELp0fhxD2vOK0lCGZ16A8;3303.0
0SeJkvMf9EAQ60t_nDaYyr;-3190.0
2QL0mq$k16mO5EbeT$Qf9s;-3172.0
3h79hRior9OBzFZ1BHc$He;-3190.0
1W2R$EErr7FA7kLDsV$tIN;-3190.0
3JiZka1U96UQrsT6VlgjJA;-3111.0
0eSOf1EWLCg9anJza5e9Wi;3190.0
0Cjqe$xZXAwg1SkRTITnHV;-3190.0
1gr4rh2FD4kfLEdkpUComg;-3190.0
3z$PMLk8nCaggu_REg_S09;-3190.0
0X9Fr09kfFBeFnMH1OlrU$;-3190.0
3voZ85rcX3IvYFUu3dfH6M;-4791.0
0U2YT54onABRg6cA$tZWdZ;-3112.0
1N5JfD6tjBSestW4mj_84x;-5000.0
2dgKX1Jpb9WumAkbpRmYlL;3122.0
3eYAlyfKD6Gx5D_eu2KPle;-5650.0
3PqouWp5D2cPYCdLezJnQO;-3131.0
1frb3JrB94ahcu$tifxGMG;5061.0
1XzbuHXdvEhRgDiD5DCng5;-6103.0
1gGCoDmn17ivn4yUX6v17k;-6076.0
3KMMXEDov7sAY0f$htUoSl;-4820.0
3p4KpYE1TDOfK$bmE24Mzd;-5000.0
3BMeGt41L95QDdGI3TjVDp;-12820.0
34JgP_1fHCA8xNHd8hWiEf;-4027.0
0E$ojDU3L8fP1c9gKBR3Pv;-4027.0
